,precision,recall,f1-score,support
BACKGROUND_Google,0.951276102088167,0.8779443254817987,0.9131403118040089,467.0
Faces,0.9908883826879271,1.0,0.9954233409610984,435.0
Faces_easy,0.9885321100917431,0.9908045977011494,0.9896670493685419,435.0
Leopards,0.9950248756218906,1.0,0.9975062344139651,200.0
Motorbikes,1.0,0.993734335839599,0.9968573224387178,798.0
accordion,1.0,1.0,1.0,55.0
airplanes,0.9962453066332916,0.995,0.9956222639149468,800.0
anchor,0.975609756097561,0.9523809523809523,0.963855421686747,42.0
ant,0.8163265306122449,0.9523809523809523,0.8791208791208791,42.0
barrel,1.0,1.0,1.0,47.0
bass,1.0,0.9259259259259259,0.9615384615384616,54.0
beaver,0.975609756097561,0.8695652173913043,0.9195402298850575,46.0
binocular,1.0,0.8787878787878788,0.9354838709677419,33.0
bonsai,0.984375,0.984375,0.984375,128.0
brain,0.9797979797979798,0.9897959183673469,0.9847715736040609,98.0
brontosaurus,1.0,0.9534883720930233,0.9761904761904762,43.0
buddha,0.9550561797752809,1.0,0.9770114942528736,85.0
butterfly,1.0,1.0,1.0,91.0
camera,0.7246376811594203,1.0,0.8403361344537815,50.0
cannon,1.0,0.9767441860465116,0.9882352941176471,43.0
car_side,1.0,1.0,1.0,123.0
ceiling_fan,1.0,1.0,1.0,47.0
cellphone,1.0,0.9830508474576272,0.9914529914529915,59.0
chair,0.9230769230769231,0.967741935483871,0.9448818897637795,62.0
chandelier,0.9724770642201835,0.9906542056074766,0.9814814814814815,107.0
cougar_body,0.9583333333333334,0.9787234042553191,0.968421052631579,47.0
cougar_face,0.9710144927536232,0.9710144927536232,0.9710144927536232,69.0
crab,0.9855072463768116,0.9315068493150684,0.9577464788732394,73.0
crayfish,0.8170731707317073,0.9571428571428572,0.881578947368421,70.0
crocodile,1.0,0.84,0.9130434782608695,50.0
crocodile_head,0.9259259259259259,0.9803921568627451,0.9523809523809523,51.0
cup,0.95,1.0,0.9743589743589743,57.0
dalmatian,0.8589743589743589,1.0,0.9241379310344827,67.0
dollar_bill,0.8387096774193549,1.0,0.9122807017543859,52.0
dolphin,1.0,0.9538461538461539,0.9763779527559056,65.0
dragonfly,1.0,0.9558823529411765,0.9774436090225563,68.0
electric_guitar,0.974025974025974,1.0,0.9868421052631579,75.0
elephant,0.6666666666666666,1.0,0.8,64.0
emu,0.9636363636363636,1.0,0.9814814814814815,53.0
euphonium,1.0,1.0,1.0,64.0
ewer,0.9651162790697675,0.9764705882352941,0.9707602339181286,85.0
ferry,1.0,0.9552238805970149,0.9770992366412213,67.0
flamingo,1.0,0.9701492537313433,0.9848484848484849,67.0
flamingo_head,1.0,0.9555555555555556,0.9772727272727273,45.0
garfield,0.8648648648648649,0.9411764705882353,0.9014084507042254,34.0
gerenuk,0.9166666666666666,0.9705882352941176,0.9428571428571428,34.0
gramophone,0.9807692307692307,1.0,0.9902912621359223,51.0
grand_piano,1.0,1.0,1.0,99.0
hawksbill,1.0,0.99,0.9949748743718593,100.0
headphone,1.0,0.9761904761904762,0.9879518072289156,42.0
hedgehog,0.9642857142857143,1.0,0.9818181818181818,54.0
helicopter,1.0,0.8977272727272727,0.9461077844311377,88.0
ibis,1.0,0.975,0.9873417721518988,80.0
inline_skate,1.0,0.967741935483871,0.9836065573770492,31.0
joshua_tree,1.0,0.984375,0.9921259842519685,64.0
kangaroo,0.945054945054945,1.0,0.9717514124293786,86.0
ketch,0.9482758620689655,0.9649122807017544,0.9565217391304348,114.0
lamp,0.9833333333333333,0.9672131147540983,0.9752066115702479,61.0
laptop,1.0,1.0,1.0,81.0
llama,1.0,0.8974358974358975,0.9459459459459459,78.0
lobster,1.0,0.7317073170731707,0.8450704225352113,41.0
lotus,0.9264705882352942,0.9545454545454546,0.9402985074626866,66.0
mandolin,1.0,1.0,1.0,43.0
mayfly,0.9512195121951219,0.975,0.9629629629629629,40.0
menorah,0.9775280898876404,1.0,0.9886363636363636,87.0
metronome,1.0,1.0,1.0,32.0
minaret,1.0,1.0,1.0,76.0
nautilus,1.0,1.0,1.0,55.0
octopus,0.8947368421052632,0.9714285714285714,0.9315068493150684,35.0
okapi,1.0,1.0,1.0,39.0
pagoda,1.0,1.0,1.0,47.0
panda,1.0,0.10526315789473684,0.19047619047619047,38.0
pigeon,0.9777777777777777,0.9777777777777777,0.9777777777777777,45.0
pizza,0.9636363636363636,1.0,0.9814814814814815,53.0
platypus,0.96875,0.9117647058823529,0.9393939393939394,34.0
pyramid,0.9818181818181818,0.9473684210526315,0.9642857142857143,57.0
revolver,0.9761904761904762,1.0,0.9879518072289156,82.0
rhino,0.9833333333333333,1.0,0.9915966386554622,59.0
rooster,1.0,0.9387755102040817,0.968421052631579,49.0
saxophone,1.0,0.975,0.9873417721518988,40.0
schooner,0.9365079365079365,0.9365079365079365,0.9365079365079365,63.0
scissors,0.975,1.0,0.9873417721518988,39.0
scorpion,0.9642857142857143,0.9642857142857143,0.9642857142857143,84.0
sea_horse,0.9807692307692307,0.8947368421052632,0.9357798165137615,57.0
snoopy,0.546875,1.0,0.7070707070707071,35.0
soccer_ball,1.0,1.0,1.0,64.0
stapler,1.0,0.9555555555555556,0.9772727272727273,45.0
starfish,1.0,0.9883720930232558,0.9941520467836257,86.0
stegosaurus,0.9830508474576272,0.9830508474576272,0.9830508474576272,59.0
stop_sign,0.9696969696969697,1.0,0.9846153846153847,64.0
strawberry,1.0,0.8857142857142857,0.9393939393939394,35.0
sunflower,1.0,0.9882352941176471,0.9940828402366864,85.0
tick,1.0,0.9795918367346939,0.9896907216494846,49.0
trilobite,1.0,1.0,1.0,86.0
